id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID12193,53,0,0,34866.5,1,0,1,1,0,1,0
ID12194,61,1,3,42579.1,0,2,0,0,0,1,1
ID12195,61,0,3,41127.4,0,0,0,0,1,1,1
ID12196,18,0,3,9990.11,0,0,1,0,0,1,1
ID12197,22,1,3,7948.62,0,1,1,1,1,0,1
ID12198,34,1,2,30870.8,0,2,0,0,0,0,0
ID12199,35,0,3,12125.8,1,2,1,0,0,1,1
ID12200,18,0,0,15348.9,0,0,0,1,0,1,1
ID12201,54,1,3,26707.9,0,1,1,0,0,0,0
ID12202,27,0,3,11604.4,0,2,0,0,0,1,1
ID12203,42,1,3,15499.9,0,0,0,1,0,0,0
ID12204,43,1,2,33088.5,1,0,1,0,0,0,1
ID12205,64,0,3,34513.6,0,1,1,0,0,1,0
ID12206,43,1,2,32395.5,0,3,0,0,0,1,1
ID12207,49,1,0,46633.0,0,0,0,0,1,1,1
ID12208,23,1,3,13039.9,0,0,1,1,0,1,1
ID12209,23,1,3,12681.9,1,0,1,0,0,1,0
ID12210,30,0,3,24031.5,0,2,0,0,0,0,1
ID12211,36,1,2,37330.5,1,2,1,0,0,1,0
ID12212,34,1,3,25333.2,0,3,0,1,1,0,1
ID12213,51,0,3,37094.2,0,0,0,1,0,1,1
ID12214,36,1,2,33630.6,1,2,0,0,0,1,0
ID12215,56,1,3,43228.2,0,1,0,0,0,1,0
ID12216,54,0,3,47796.8,0,0,1,0,0,1,1
ID12217,56,0,2,21730.3,0,2,1,0,1,1,1
ID12218,26,1,3,10044.1,0,3,1,0,0,0,1
ID12219,39,1,2,17270.1,1,0,0,1,1,1,0
ID12220,64,0,0,45765.0,0,3,0,0,0,1,0
ID12221,46,1,0,29525.5,1,2,1,0,1,0,1
ID12222,62,0,0,54863.8,0,1,0,0,0,1,0
ID12223,36,0,2,20799.0,0,1,1,0,1,0,0
ID12224,35,0,0,33028.3,1,1,1,0,0,1,0
ID12225,47,1,0,45031.9,1,3,0,0,1,1,0
ID12226,47,1,3,39010.8,0,2,1,1,0,1,0
ID12227,37,0,2,25257.7,0,0,0,0,0,1,1
ID12228,48,0,3,42603.9,0,0,1,0,0,1,1
ID12229,41,1,2,14092.7,0,3,0,0,0,1,1
ID12230,27,0,0,21350.3,1,0,0,0,0,1,0
ID12231,43,1,3,23246.4,1,2,1,1,0,1,1
ID12232,61,1,0,41609.5,0,3,1,0,0,0,1
ID12233,52,0,1,16716.1,1,2,0,0,0,1,1
ID12234,64,0,1,36436.4,0,0,0,1,0,1,1
ID12235,66,0,2,59503.8,0,2,0,0,0,0,0
ID12236,53,0,2,31334.8,0,1,0,0,0,1,0
ID12237,20,0,3,14048.9,0,2,0,1,0,0,1
ID12238,57,0,3,39205.3,1,0,1,0,0,1,0
ID12239,65,0,0,42173.9,0,0,1,0,0,1,1
ID12240,64,0,3,55263.0,1,1,1,0,0,1,0
ID12241,52,1,3,37095.2,0,3,1,0,0,1,1
ID12242,47,0,3,22791.4,0,0,1,1,0,1,1
ID12243,28,0,2,17240.6,0,1,0,1,1,0,1
ID12244,64,1,2,48974.8,0,0,0,0,0,0,1
ID12245,25,1,3,18923.0,0,1,1,0,0,1,0
ID12246,58,1,1,51204.2,0,0,1,0,1,0,0
ID12247,34,1,2,20236.2,0,2,0,1,0,1,1
ID12248,20,0,3,18860.3,1,2,1,0,0,1,1
ID12249,63,1,0,25732.5,0,0,0,0,1,1,1
ID12250,30,0,1,28240.4,0,3,0,0,0,1,1
ID12251,53,1,0,28193.6,0,1,0,0,0,1,0
ID12252,43,1,2,36432.8,1,2,0,1,0,1,0
ID12253,63,1,2,54618.8,0,2,1,0,1,0,0
ID12254,33,1,3,24760.8,0,1,1,0,0,0,0
ID12255,41,1,0,23356.1,1,2,0,1,1,1,1
ID12256,20,0,1,8143.75,0,2,1,0,0,1,0
ID12257,50,1,2,26462.5,0,0,0,0,0,1,1
ID12258,24,1,0,20467.3,0,2,0,0,0,1,1
ID12259,60,0,2,21506.2,0,0,1,1,0,1,0
ID12260,44,0,2,15315.3,0,1,1,0,0,1,0
ID12261,23,1,3,18875.7,0,2,0,0,0,1,1
ID12262,40,0,3,12977.2,0,0,1,1,1,1,1
ID12263,49,0,2,20708.5,1,3,1,1,0,1,1
ID12264,21,0,2,7549.38,1,1,0,1,0,1,1
ID12265,40,0,3,24904.0,0,0,1,1,1,1,1
ID12266,26,1,0,24071.8,0,1,1,1,0,0,0
ID12267,20,1,2,9589.91,1,1,1,0,0,0,1
ID12268,24,1,3,8562.86,1,1,1,1,1,0,1
ID12269,37,0,2,26707.5,1,0,0,0,0,1,1
ID12270,56,1,3,34020.5,0,0,1,1,0,1,1
ID12271,52,1,3,49175.7,0,0,0,0,0,1,1
ID12272,22,1,3,19726.3,0,2,1,1,0,1,1
ID12273,35,1,3,24346.6,0,3,0,0,0,1,1
ID12274,34,1,0,26999.4,0,1,0,0,0,1,0
ID12275,67,0,2,41558.1,0,2,1,0,0,1,0
ID12276,58,0,3,56340.3,1,0,1,0,0,1,0
ID12277,40,1,2,37558.5,0,0,0,0,0,1,1
ID12278,41,0,3,30099.3,0,0,0,0,0,0,0
ID12279,43,1,3,15254.8,0,0,1,1,1,1,0
ID12280,63,1,3,36086.1,0,2,1,1,0,1,0
ID12281,22,0,3,17655.0,0,1,1,0,0,0,0
ID12282,60,1,0,56658.9,1,0,1,0,0,1,0
ID12283,65,0,3,37706.5,1,0,0,0,0,0,1
ID12284,48,0,3,18516.0,0,2,0,0,0,0,1
ID12285,38,0,3,29622.0,1,0,0,0,1,0,1
ID12286,49,1,0,32669.9,0,1,0,0,0,0,0
ID12287,20,0,3,18275.5,0,0,1,1,1,0,0
ID12288,48,0,2,34410.0,0,1,1,1,0,1,0
ID12289,38,1,3,34866.9,0,2,0,1,0,0,1
ID12290,41,0,3,21796.6,0,0,1,1,0,1,1
ID12291,67,0,1,63130.1,0,2,0,0,0,1,0
ID12292,39,1,3,14996.4,0,1,0,0,1,1,1
ID12293,64,0,0,49024.9,0,3,1,0,0,1,0
ID12294,41,1,3,16249.8,0,0,0,1,0,0,0
ID12295,55,1,1,36192.1,0,2,0,1,0,1,0
ID12296,52,1,3,17839.9,0,1,1,0,1,0,0
ID12297,30,0,3,18802.4,1,0,1,1,0,0,0
ID12298,52,1,3,48720.3,0,2,0,0,0,1,0
ID12299,26,1,3,14585.9,1,2,1,1,0,0,1
ID12300,26,0,3,20819.0,0,0,1,0,0,1,0
ID12301,46,1,2,26077.8,0,1,0,0,0,1,0
ID12302,46,0,2,41627.1,0,0,1,0,0,0,1
ID12303,52,1,3,16977.3,0,0,1,1,0,1,1
ID12304,37,1,3,19012.8,1,3,0,1,0,1,1
ID12305,22,1,3,12764.8,0,1,1,0,0,0,0
ID12306,18,1,3,14388.6,1,0,0,1,0,0,0
ID12307,63,1,3,59409.1,1,0,0,0,0,1,0
ID12308,25,0,3,14960.2,0,0,1,0,0,0,1
ID12309,67,1,3,39666.6,0,0,0,0,0,1,1
ID12310,27,1,3,20771.9,1,0,1,0,1,1,0
ID12311,61,1,3,24474.1,1,0,0,1,1,1,0
ID12312,58,1,2,33123.7,0,1,0,0,0,1,0
ID12313,22,1,3,14433.4,0,0,0,0,0,1,0
ID12314,28,1,2,13175.5,1,1,1,1,0,1,0
ID12315,23,1,3,9824.37,0,0,1,0,0,1,1
ID12316,27,1,1,17610.3,0,0,1,0,0,1,1
ID12317,27,0,1,15156.2,0,0,0,1,0,1,1
ID12318,40,0,3,31774.1,0,3,0,0,0,0,1
ID12319,39,1,2,31693.5,1,0,0,0,1,1,0
ID12320,35,0,3,28598.7,0,0,0,0,0,1,1
ID12321,37,0,3,26261.7,1,2,0,1,1,1,1
ID12322,47,1,3,42124.1,0,2,1,0,0,1,0
ID12323,42,0,3,39308.7,0,1,1,0,0,1,0
ID12324,67,0,3,43530.0,0,0,1,0,0,0,1
ID12325,57,1,0,49874.4,0,3,1,0,0,1,0
ID12326,47,0,0,27434.8,1,0,0,0,0,1,0
ID12327,67,1,3,50474.6,0,2,0,0,0,1,0
ID12328,56,1,2,24888.2,1,0,1,0,0,1,0
ID12329,37,1,0,28021.6,1,0,0,1,0,0,0
ID12330,27,1,3,12279.5,1,0,0,1,1,1,0
ID12331,59,0,3,30189.4,0,0,0,1,0,0,0
ID12332,31,1,3,28969.4,1,1,1,1,0,0,1
ID12333,31,1,1,14058.5,0,0,1,1,0,0,0
ID12334,32,0,2,30404.3,0,0,0,0,0,1,1
ID12335,57,0,0,41438.2,1,3,1,0,1,1,1
ID12336,49,0,3,16711.3,1,1,1,0,0,0,0
ID12337,65,1,2,52255.9,1,2,0,0,0,1,0
ID12338,22,0,3,17866.9,0,2,1,0,0,0,1
ID12339,26,0,0,18067.5,0,2,1,0,1,1,1
ID12340,23,1,3,12823.7,0,0,0,0,0,1,1
ID12341,26,0,0,11299.3,0,2,0,1,1,1,1
ID12342,59,0,3,56031.1,1,0,0,0,0,1,0
ID12343,67,1,3,35263.5,0,1,0,0,0,1,0
ID12344,34,0,3,19968.1,0,0,0,0,0,1,1
ID12345,50,1,0,27825.5,0,2,0,0,1,1,1
ID12346,46,1,1,37773.9,1,0,0,0,0,0,1
ID12347,23,0,3,7606.25,1,3,0,1,1,1,1
ID12348,26,1,0,21384.4,0,0,1,1,0,1,1
ID12349,40,1,2,20347.0,0,3,1,0,0,1,1
ID12350,36,1,2,21332.3,0,3,0,1,0,1,1
ID12351,65,1,3,57671.7,1,0,1,0,0,0,1
ID12352,45,0,2,36057.8,0,1,0,0,0,0,0
ID12353,23,1,3,14290.5,0,2,1,1,0,0,1
ID12354,42,0,2,17882.9,0,1,1,1,1,1,0
ID12355,21,0,0,10629.1,1,3,1,0,0,0,1
ID12356,62,0,3,24262.8,1,0,0,1,0,1,0
ID12357,49,0,1,26097.9,1,2,1,0,0,1,1
ID12358,28,0,2,23371.0,0,2,1,1,0,0,1
ID12359,38,0,2,21495.6,1,3,1,1,0,0,1
ID12360,36,1,2,12166.9,1,0,1,1,1,1,1
ID12361,22,1,1,17180.2,0,0,1,0,0,1,1
ID12362,40,0,2,28882.3,0,1,1,0,0,0,0
ID12363,40,0,2,21612.2,0,0,1,1,0,1,1
ID12364,60,0,3,46358.4,0,0,0,0,0,0,1
ID12365,23,1,3,19166.0,1,0,0,0,1,1,0
ID12366,21,1,3,17921.8,0,1,0,1,1,1,0
ID12367,58,1,2,33229.0,1,0,0,0,0,1,0
ID12368,48,0,1,30396.1,1,0,1,0,0,1,0
ID12369,63,0,2,34625.2,0,0,0,1,0,1,1
ID12370,20,1,2,16672.8,1,3,0,1,0,0,1
ID12371,67,0,1,60747.5,1,2,1,0,0,0,0
ID12372,62,0,3,56394.3,1,0,0,0,0,1,0
ID12373,36,1,2,13236.4,0,0,1,0,0,1,1
ID12374,31,1,3,28409.4,0,1,0,1,0,1,0
ID12375,42,0,3,27056.5,0,0,0,0,0,1,1
ID12376,18,1,0,9362.58,0,0,0,1,0,0,0
ID12377,46,0,1,28702.7,1,1,1,0,0,0,0
ID12378,25,1,2,22366.1,0,1,0,0,0,1,0
ID12379,65,0,0,24477.5,1,0,1,0,1,0,1
ID12380,40,1,2,36972.4,0,1,1,1,0,0,0
ID12381,32,1,3,22327.8,0,1,1,1,1,1,0
ID12382,18,0,3,15610.2,0,0,1,0,0,1,1
ID12383,64,1,3,54314.5,0,1,0,0,1,1,0
ID12384,43,0,3,39175.8,0,3,1,0,0,0,1
ID12385,22,0,3,13739.0,0,3,1,0,0,1,1
ID12386,25,1,2,9485.84,0,0,1,1,1,1,1
ID12387,39,1,3,24675.7,0,1,0,0,0,0,0
ID12388,58,0,3,28253.6,0,3,1,1,0,1,1
ID12389,33,1,3,14136.5,0,1,1,0,1,1,1
ID12390,52,0,0,37162.1,0,1,0,0,0,1,0
ID12391,23,1,3,13519.2,1,0,1,0,0,1,0
ID12392,44,0,3,39253.6,1,0,0,0,1,1,0
ID12393,51,1,0,46323.8,0,2,0,0,0,0,0
ID12394,26,0,2,20950.7,0,0,1,0,0,1,1
ID12395,42,1,2,22495.7,0,0,1,0,1,0,1
ID12396,34,1,2,32548.9,0,0,0,0,0,0,1
ID12397,54,0,0,24583.4,1,2,0,0,0,0,1
ID12398,18,1,0,8639.24,0,2,1,1,1,1,1
ID12399,47,0,3,17139.5,1,2,0,1,0,1,1
ID12400,24,0,3,13667.7,0,0,1,0,0,1,1
ID12401,19,0,3,8162.42,0,1,0,0,0,0,1
ID12402,37,0,2,15349.6,0,0,1,0,1,1,1
ID12403,45,0,2,29231.4,0,0,1,0,1,1,1
ID12404,49,1,0,41462.3,0,3,1,0,0,0,1
ID12405,67,0,0,57398.1,1,3,1,0,0,1,0
ID12406,35,0,0,11520.8,0,0,1,1,0,1,1
ID12407,63,1,3,52117.3,1,2,0,0,0,1,0
ID12408,38,1,0,26281.4,1,0,0,0,0,1,0
ID12409,48,1,2,25683.4,1,2,0,0,0,1,1
ID12410,28,0,3,11920.7,1,1,1,0,0,1,1
ID12411,46,1,2,30658.7,0,0,1,0,0,1,1
ID12412,66,1,3,36646.4,1,1,1,0,0,1,0
ID12413,61,0,2,30760.4,1,2,0,1,0,1,0
ID12414,18,0,0,16109.9,1,2,0,0,0,1,1
ID12415,54,0,2,18036.7,0,0,0,0,1,1,1
ID12416,45,1,0,42628.3,1,0,0,0,0,0,1
ID12417,60,1,3,22110.1,1,2,0,0,0,1,1
ID12418,45,0,2,37689.1,1,1,1,0,0,0,0
ID12419,31,0,3,23171.8,1,2,1,0,1,1,1
ID12420,39,1,1,21951.3,1,0,0,0,0,0,1
ID12421,53,1,3,38103.4,1,2,0,0,0,1,0
ID12422,35,1,0,22882.9,0,0,0,1,1,0,0
ID12423,25,0,2,11043.7,0,1,0,0,1,0,1
ID12424,32,1,2,24027.6,1,0,1,0,0,1,0
ID12425,36,1,1,28495.1,0,0,1,0,0,1,1
ID12426,24,0,2,9465.21,1,0,1,1,0,1,0
ID12427,39,1,3,34852.3,0,1,1,0,1,0,0
ID12428,24,1,3,21268.4,0,0,1,1,0,0,0
ID12429,57,0,0,50849.2,1,1,1,0,1,0,0
ID12430,27,0,2,18555.9,0,3,1,1,0,1,1
ID12431,66,0,0,52769.9,0,3,0,0,0,1,0
ID12432,18,0,3,11601.4,0,2,1,0,0,0,1
ID12433,33,0,2,29541.7,0,0,1,0,1,1,1
ID12434,48,1,1,17861.0,0,2,1,0,0,1,1
ID12435,23,0,1,21042.0,0,1,1,1,0,1,0
ID12436,44,1,2,26688.1,0,1,1,0,1,0,0
ID12437,39,1,3,26900.6,0,2,1,1,1,0,1
ID12438,65,1,3,38080.9,0,1,0,0,1,0,1
ID12439,60,1,1,37554.1,0,2,0,0,0,0,0
ID12440,20,1,3,18184.6,0,0,1,1,0,0,0
ID12441,45,0,1,28864.9,0,0,1,0,0,1,1
ID12442,66,1,0,48346.1,0,1,0,0,1,1,0
ID12443,64,1,3,53104.3,0,0,0,0,0,1,1
ID12444,51,0,3,19416.8,0,0,1,0,0,1,1
ID12445,34,1,0,23638.1,0,2,0,0,0,1,1
ID12446,65,0,2,42378.2,0,1,1,0,0,1,0
ID12447,50,1,0,39745.3,0,0,0,0,1,0,1
ID12448,66,0,3,45189.8,0,0,1,0,1,1,1
ID12449,63,1,3,37930.9,0,0,1,0,1,0,1
ID12450,53,0,3,24042.0,1,1,1,1,0,1,0
ID12451,33,0,3,31207.1,1,0,0,1,0,0,0
ID12452,38,1,2,24424.3,0,0,1,0,0,0,1
ID12453,56,0,0,24607.8,1,1,1,0,0,0,1
ID12454,48,1,2,43057.0,1,1,0,0,0,1,0
ID12455,49,0,1,30198.5,0,0,0,1,0,0,0
ID12456,54,0,0,50186.1,0,2,1,0,0,0,0
ID12457,41,0,1,22916.1,0,0,1,1,0,1,1
ID12458,19,1,0,9592.73,1,0,1,0,0,1,0
ID12459,52,0,3,34253.6,1,3,0,1,0,1,1
ID12460,52,0,3,22792.3,0,1,0,0,1,1,0
ID12461,64,0,2,51620.8,1,2,0,0,0,1,0
ID12462,56,1,2,19918.9,0,3,1,0,0,0,1
ID12463,56,1,2,29625.1,0,2,1,1,0,1,1
ID12464,19,0,2,12549.0,0,0,1,0,0,1,1
ID12465,56,0,2,51299.3,0,1,0,0,1,1,0
ID12466,27,1,3,17364.8,0,2,0,0,1,1,0
ID12467,59,0,3,29866.9,1,1,0,1,0,1,0
ID12468,56,1,3,47750.2,0,0,0,0,0,0,1
ID12469,21,1,2,11281.5,0,0,1,0,0,0,1
ID12470,64,1,3,34073.8,0,3,1,0,1,0,1
ID12471,62,1,3,46870.4,0,0,1,0,0,1,1
ID12472,44,0,3,38453.7,1,2,1,0,0,1,0
ID12473,24,0,3,7756.36,1,0,1,1,1,1,0
ID12474,52,0,3,28413.8,0,0,1,1,0,1,1
ID12475,67,0,1,47198.6,0,2,1,0,0,1,0
ID12476,41,1,3,20866.3,0,0,0,0,0,1,1
ID12477,58,0,2,33204.3,1,1,1,1,1,0,0
ID12478,40,1,3,24823.5,1,2,1,1,0,1,1
ID12479,19,1,1,17986.8,0,0,1,1,0,0,0
ID12480,20,0,3,9909.82,0,3,1,1,0,1,1
ID12481,56,0,2,26542.8,1,0,0,0,0,1,0
ID12482,46,0,3,32583.5,0,2,0,0,0,1,1
ID12483,30,1,3,14606.6,0,1,1,1,0,1,1
ID12484,40,0,2,34836.8,0,1,0,0,0,1,0
ID12485,36,0,2,26920.8,0,0,1,1,0,1,1
ID12486,57,0,3,38248.3,1,3,0,1,0,0,1
ID12487,49,1,3,15689.1,1,0,1,1,0,1,1
ID12488,61,1,3,30157.7,1,1,0,1,1,1,0
ID12489,29,1,3,14642.2,1,0,0,1,0,1,0
ID12490,48,0,3,15933.3,0,0,1,0,1,1,1
ID12491,56,0,3,44288.3,0,0,1,0,0,1,1
ID12492,40,1,2,22197.1,1,0,0,1,0,1,0
ID12493,58,0,2,38248.3,0,3,0,0,1,1,1
ID12494,60,0,3,22053.2,0,2,0,0,1,0,1
ID12495,58,0,1,25468.5,1,0,0,1,1,0,0
ID12496,67,0,2,23485.9,0,3,0,1,1,0,1
ID12497,40,1,0,25768.6,0,0,0,0,1,1,1
ID12498,48,1,3,34182.2,0,2,1,0,0,1,0
ID12499,64,0,3,57444.5,1,1,1,0,0,1,0
ID12500,43,1,2,38059.8,0,0,0,0,1,0,1
ID12501,34,0,0,19481.3,1,0,1,1,0,0,0
ID12502,26,1,0,19563.8,1,3,0,1,1,0,1
ID12503,48,1,3,38598.4,0,0,0,1,0,1,1
ID12504,35,1,3,20754.3,1,0,1,1,1,0,0
ID12505,24,0,3,13864.6,0,3,1,0,0,1,0
ID12506,47,1,1,36599.0,0,3,0,0,0,1,0
ID12507,52,1,1,45856.1,1,1,1,0,0,1,0
ID12508,31,1,1,22362.3,1,0,1,0,0,1,0
ID12509,41,0,1,21984.0,0,1,0,1,1,1,0
ID12510,23,1,1,11073.0,0,2,1,0,1,1,1
ID12511,27,0,3,18158.5,1,1,0,1,0,0,0
ID12512,22,1,3,7304.2,1,0,0,0,0,0,1
ID12513,67,0,3,58092.0,1,2,0,0,0,1,0
ID12514,26,0,3,16518.6,0,0,0,1,0,1,0
ID12515,58,0,1,46461.5,0,0,1,0,0,1,1
ID12516,27,1,0,20058.7,0,0,1,0,0,0,1
ID12517,36,1,3,12533.2,1,1,1,0,1,0,1
ID12518,31,1,0,22848.5,0,1,0,1,1,1,0
ID12519,28,0,2,25699.4,0,2,0,0,1,1,0
ID12520,57,1,2,21612.6,0,0,1,0,0,0,1
ID12521,64,1,3,48950.9,0,0,0,0,0,0,1
ID12522,49,1,3,41438.0,1,1,1,0,1,1,0
ID12523,22,1,3,11411.0,0,1,0,1,0,1,1
ID12524,58,0,3,43940.6,0,0,0,0,0,1,1
ID12525,20,1,2,17239.5,1,1,0,1,0,1,0
ID12526,44,0,0,30488.7,0,0,1,0,0,1,1
ID12527,65,0,2,29866.3,0,3,1,0,1,1,1
ID12528,53,0,3,32184.4,0,2,0,1,1,1,0
ID12529,34,0,3,17308.7,0,1,0,1,0,0,0
ID12530,35,1,0,27863.9,1,2,1,0,0,0,1
ID12531,48,1,2,28920.6,0,0,1,0,1,0,1
ID12532,64,0,2,58367.3,0,1,0,0,0,1,0
ID12533,46,1,2,16849.3,1,0,0,0,0,0,1
ID12534,42,0,0,28138.5,0,0,1,1,0,0,0
ID12535,47,1,3,23038.2,0,0,0,0,1,1,1
ID12536,23,1,2,11736.9,1,2,0,0,0,0,1
ID12537,35,1,3,16479.5,0,0,0,1,1,0,0
ID12538,64,0,3,31415.7,1,1,0,0,1,0,0
ID12539,18,0,1,12117.3,0,1,1,1,0,1,1
ID12540,19,1,3,15417.1,0,1,0,1,0,1,1
ID12541,40,1,3,29414.6,0,1,1,0,1,0,0
ID12542,47,1,3,44682.1,0,0,0,0,0,1,1
ID12543,43,0,0,36281.0,0,0,0,0,0,1,1
ID12544,38,1,2,33302.8,1,0,0,1,0,0,0
ID12545,21,0,0,15797.1,0,0,1,0,0,1,0
ID12546,40,1,0,31864.8,0,0,0,0,0,1,1
ID12547,52,0,2,43719.5,0,0,1,0,0,1,1
ID12548,35,0,2,30799.5,0,2,1,1,0,1,0
ID12549,53,1,0,48971.6,0,3,0,0,1,1,0
ID12550,38,0,0,34061.4,1,0,0,0,0,1,0
ID12551,42,1,3,28938.6,0,3,0,1,1,1,1
ID12552,43,1,2,38540.0,1,0,0,0,1,0,1
ID12553,59,0,3,27045.1,1,0,1,1,0,1,0
ID12554,59,0,0,51284.3,1,0,0,0,0,0,1
ID12555,24,1,3,16352.2,1,0,1,0,0,0,1
ID12556,27,0,3,11866.4,0,0,0,0,0,1,1
ID12557,32,0,2,13267.6,0,0,0,0,0,0,1
ID12558,65,0,3,61554.6,0,0,1,0,0,1,1
ID12559,18,1,1,13700.2,1,1,1,0,0,1,1
ID12560,66,1,2,46963.9,0,1,1,0,0,1,0
ID12561,41,1,3,23475.6,0,0,0,1,0,0,0
ID12562,64,0,1,24554.1,0,0,0,0,1,0,1
ID12563,23,0,3,18050.0,0,0,0,1,0,0,0
ID12564,29,0,0,15237.6,0,2,0,1,0,1,1
